set I := Primaria	Secondaria	Terziaria; #linee
set J := Schede 	Processori 	Computer; #prodotti

param F := Primaria 10 Secondaria 20 Terziaria 30; #costi fissi linea
param B := Schede 5 Processori 10 Computer 15; #richiesta minima linee
param D := Primaria 1000 Secondaria 2000 Terziaria 3000; #capacità linea

#produttività oraria linea/prodotto
param A : 		Schede		Processori		Computer :=
Primaria		200			300				400
Secondaria		500			600				700
Terziaria		800			900				100
;

#costi orari linea/prodotto
param C : 		Schede		Processori		Computer :=
Primaria		10			15				20	
Secondaria		25			30				35
Terziaria		40			45				50
;
